acrR_b0464_at,ada_b2213_at,adiY_b4116_at,alpA_b2624_at,appY_b0564_at,araC_b0064_at,arcA_b4401_at,argR_b3237_at,arsR_b3501_at,asnC_b3743_at,atoC_b2220_at,b1399_at,b1499_at,b2531_at,baeR_b2079_at,betI_b0313_at,birA_b3973_at,cadC_b4133_at,caiF_b0034_at,cbl_b1987_at,cpxR_b3912_at,crp_b3357_at,csgD_b1040_at,cspA_b3556_at,cspE_b0623_at,cynR_b0338_at,cysB_b1275_at,cytR_b3934_at,deoR_b0840_at,dnaA_b3702_at,dsdC_b2364_at,ebgR_b3075_at,emrR_b2684_at,envY_b0566_at,evgA_b2369_at,exuR_b3094_at,fadR_b1187_at,farR_b0730_at,fecI_b4293_at,fhlA_b2731_at,fis_b3261_at,flhC_b1891_at,flhD_b1892_at,fliA_b1922_at,fnr_b1334_at,fruR_b0080_at,fucR_b2805_at,fur_b0683_at,galR_b2837_at,galS_b2151_at,gatR_1_b2087_at,gatR_2_b2090_f_at,gcvA_b2808_at,gcvR_b2479_at,glcC_b2980_at,glnG_b3868_at,glnL_b3869_at,glpR_b3423_at,gntR_b3438_at,gutM_b2706_at,hcaR_b2537_at,himA_b1712_at,himD_b0912_at,hipA_b1507_at,hipB_b1508_at,hns_b1237_at,hupA_b4000_at,hupB_b0440_at,hycA_b2725_at,hydG_b4004_at,hyfR_b2491_at,iciA_b2916_at,iclR_b4018_at,idnR_b4264_at,ilvY_b3773_at,kdpE_b0694_at,lacI_b0345_at,leuO_b0076_at,lexA_b4043_at,lldR_b3604_at,lrhA_b2289_at,lrp_b0889_at,lysR_b2839_at,malI_b1620_at,malT_b3418_at,marA_b1531_at,marR_b1530_at,melR_b4118_at,metJ_b3938_at,metR_b3828_at,mhpR_b0346_at,mlc_b1594_at,modE_b0761_at,mtlR_b3601_at,nac_b1988_at,nadR_b4390_at,nagC_b0676_at,narL_b1221_at,narP_b2193_at,nhaR_b0020_at,ompR_b3405_at,oxyR_b3961_at,pdhR_b0113_at,phoB_b0399_at,phoP_b1130_at,pspF_b1303_at,purR_b1658_at,putA_b1014_at,rbsR_b3753_at,rcsA_b1951_at,rcsB_b2217_at,rhaR_b3906_at,rhaS_b3905_at,rob_b4396_at,rpiR_b4089_at,rpoD_b3067_at,rpoE_b2573_at,rpoH_b3461_at,rpoN_b3202_at,rpoS_b2741_at,rtcR_b3422_at,sdiA_b1916_at,slyA_b1642_at,sohA_b3129_at,soxR_b4063_at,soxS_b4062_at,srlR_b2707_at,tdcA_b3118_at,tdcR_b3119_at,torR_b0995_at,treR_b4241_at,trpR_b4393_at,tyrR_b1323_at,uhpA_b3669_at,uidA_b1617_at,uxuR_b4324_at,xapR_b2405_at,xylR_b3569_at,ygaA_b2709_at,ygaE_b2664_at,ygiX_b3025_at,yhdM_b3292_at,yhhG_b3481_at,yhiE_b3512_at,yhiW_b3515_at,yhiX_b3516_at,yiaJ_b3574_at,yifA_b3762_at,yijC_b3963_at,yjbK_b4046_at,yjdG_b4124_at,yjfQ_b4191_at,ylcA_b0571_at
acrR_b0464_at,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ada_b2213_at,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adiY_b4116_at,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alpA_b2624_at,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
appY_b0564_at,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
araC_b0064_at,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arcA_b4401_at,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
argR_b3237_at,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arsR_b3501_at,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asnC_b3743_at,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
