INTERACTOR_A	INTERACTOR_B
ce7380	ce6058
ce7380	ce13812
ce7382	ce7382
ce7382	ce5255
ce7382	ce1103
ce7388	ce523
ce7388	ce8534
ce12225	ce14608
ce12225	ce14608
ce12226	ce16994
ce1921	ce14231
ce1921	ce11521
ce1921	ce7872
ce15217	ce12975
ce15217	ce12975
ce15926	ce1377
ce15927	ce6498
ce15927	ce6498
ce13368	ce13368
ce8070	ce472
ce11930	ce11933
ce11930	ce1368
ce11933	ce694
ce11933	ce4101
ce11933	ce11236
ce11933	ce3430
ce11933	ce14608
ce11933	ce4156
ce11933	ce3919
ce11933	ce694
ce11933	ce14608
ce15929	ce12833
ce15929	ce17182
ce11934	ce3674
ce8078	ce8078
ce7561	ce16531
ce7561	ce15494
ce7561	ce1766
ce7562	ce3674
ce7563	ce16500
ce8657	ce951
ce8656	ce8656
ce8655	ce6313
ce8655	ce15556
ce7090	ce6309
ce7090	ce6309
ce3281	ce3674
ce3281	ce2795
ce3280	ce3956
ce3931	ce8274
ce17270	ce1014
ce17271	ce16823
ce17271	ce11521
ce17271	ce3956
ce12352	ce615
ce12353	ce596
ce12353	ce15651
ce12353	ce596
ce7142	ce3970
ce15819	ce16628
ce15819	ce6685
ce15819	ce16778
ce15819	ce16628
ce15819	ce6685
ce15819	ce3650
ce15816	ce6803
ce15816	ce2630
ce15816	ce16780
ce15816	ce19218
ce15816	ce5799
ce15816	ce5160
ce15816	ce13422
ce15816	ce6803
ce15816	ce2630
ce15816	ce19218
ce15816	ce5799
ce15816	ce5160
ce15816	ce6803
ce15816	ce6803
ce15817	ce7645
ce15817	ce12615
ce15817	ce4373
ce15817	ce4373
ce18039	ce10261
ce6546	ce13126
ce6546	ce13334
ce6546	ce4225
ce6546	ce11743
ce6549	ce4322
ce6548	ce16347
ce6548	ce16347
ce6548	ce16347
ce5942	ce14072
ce5942	ce14072
ce5943	ce5286
ce5943	ce2586
ce5943	ce694
ce5943	ce1824
ce5943	ce4826
ce5943	ce5709
ce5943	ce2479
ce5943	ce6989
ce5943	ce4976
ce5943	ce11744
ce5943	ce8408
ce5943	ce9584
