INTERACTOR_A	INTERACTOR_B
dm11640	dm11529
dm11640	dm13538
dm11640	dm8371
dm11640	dm9234
dm11640	dm282
dm8253	dm8430
dm8253	dm5240
dm8253	dm8164
dm10841	dm7888
dm10841	dm2784
dm10841	dm1715
dm10841	dm7888
dm10840	dm6098
dm10840	dm12537
dm10842	dm785
dm10842	dm5281
dm10842	dm9282
dm10842	dm9282
dm10842	dm9282
dm10842	dm9720
dm8250	dm11161
dm8250	dm11161
dm8250	dm11161
dm8250	dm11161
dm8250	dm9923
dm8250	dm9923
dm8250	dm9923
dm8250	dm9923
dm8250	dm8076
dm8250	dm8076
dm8250	dm5713
dm8250	dm2813
dm8250	dm7252
dm8250	dm10627
dm8250	dm1449
dm8250	dm11713
dm8250	dm5713
dm3002	dm247
dm8251	dm3182
dm8251	dm809
dm8251	dm10804
dm8251	dm13418
dm8251	dm4008
dm8251	dm13519
dm8251	dm5801
dm8251	dm11311
dm8251	dm12489
dm8251	dm12710
dm8251	dm8102
dm8251	dm6178
dm8251	dm10898
dm8251	dm809
dm8251	dm4008
dm8251	dm3182
dm8251	dm8102
dm8251	dm7881
dm8251	dm10898
dm8251	dm10112
dm8251	dm10804
dm8251	dm3936
dm8251	dm8102
dm8251	dm7881
dm8251	dm10898
dm8251	dm10112
dm8251	dm10804
dm4979	dm6604
dm4979	dm8661
dm4979	dm13786
dm4979	dm6529
dm4979	dm13888
dm4979	dm6604
dm4979	dm8661
dm4979	dm13786
dm92	dm7912
dm92	dm11582
dm92	dm2382
dm92	dm4557
dm92	dm5000
dm92	dm5868
dm92	dm2220
dm92	dm9755
dm92	dm12192
dm92	dm8166
dm92	dm3028
dm92	dm13598
dm92	dm4172
dm92	dm7081
dm92	dm10209
dm92	dm7912
dm92	dm5868
dm92	dm2220
dm92	dm9755
dm92	dm3028
dm11644	dm11454
dm11644	dm2171
dm11644	dm11643
dm11644	dm2171
dm11644	dm11454
dm90	dm2121
dm90	dm3602
dm4974	dm6784
dm4974	dm6784
