INTERACTOR_A	INTERACTOR_B
hs5692	hs7059
hs5692	hs4957
hs5692	hs12029
hs5692	hs14335
hs5692	hs364
hs5692	hs1495
hs5692	hs19154
hs5692	hs10025
hs5692	hs6446
hs5692	hs950
hs5692	hs18378
hs5692	hs19808
hs5692	hs5137
hs5692	hs974
hs5692	hs6932
hs5692	hs12681
hs5692	hs6637
hs5692	hs2368
hs5692	hs18462
hs5692	hs1624
hs5692	hs12136
hs5692	hs3349
hs5692	hs14499
hs5692	hs1985
hs5692	hs14910
hs5692	hs2848
hs5692	hs12938
hs5692	hs10299
hs5692	hs14766
hs5692	hs1297
hs5692	hs4448
hs5692	hs3176
hs5692	hs4073
hs5692	hs8844
hs5692	hs7921
hs5692	hs2950
hs5692	hs2218
hs5692	hs706
hs5692	hs11075
hs5692	hs19471
hs5692	hs11557
hs17914	hs11264
hs17914	hs8848
hs17914	hs1455
hs17914	hs12269
hs17914	hs6869
hs12250	hs10803
hs12250	hs12479
hs12250	hs16410
hs12250	hs11201
hs12250	hs12479
hs12253	hs10685
hs12253	hs5303
hs12253	hs10978
hs12253	hs4217
hs18934	hs13621
hs18934	hs7960
hs18934	hs7289
hs12628	hs13813
hs5697	hs17315
hs5217	hs31
hs5216	hs21408
hs5216	hs21205
hs5216	hs21394
hs5216	hs20686
hs5216	hs20595
hs5216	hs9154
hs5216	hs10685
hs5216	hs8736
hs5216	hs21394
hs5216	hs6256
hs5216	hs21205
hs5216	hs21408
hs5214	hs9302
hs5214	hs9302
hs9226	hs8903
hs9227	hs4390
hs9227	hs15399
hs9227	hs9633
hs9227	hs3193
hs9227	hs3987
hs9227	hs6289
hs9227	hs165
hs9227	hs2579
hs9227	hs15399
hs9227	hs4390
hs9227	hs15399
hs9227	hs17432
hs9227	hs16160
hs9227	hs16160
hs9227	hs11309
hs9227	hs11309
hs9227	hs15601
hs9227	hs15601
hs9227	hs17692
hs9227	hs6050
hs9227	hs4729
hs9227	hs17692
hs9227	hs155
hs9227	hs3776
hs9227	hs17432
hs9227	hs155
hs9227	hs16160
hs9227	hs4390
hs9225	hs5095
hs9225	hs3723
hs9225	hs6684
hs9225	hs6684
hs9225	hs21620
hs9225	hs17417
hs9225	hs3723
hs9225	hs18668
hs9225	hs21620
hs9225	hs17417
hs9225	hs21620
hs9225	hs9615
hs9225	hs14044
hs9225	hs3723
hs9225	hs3723
hs9225	hs18668
hs9225	hs3008
hs9225	hs3008
hs9225	hs3723
hs9225	hs9615
hs9225	hs14044
hs9225	hs18668
hs9225	hs9488
hs9225	hs4549
hs9225	hs21620
hs9225	hs12650
hs9225	hs18613
hs9225	hs3723
hs9225	hs21620
hs9225	hs8802
hs9225	hs3723
hs9225	hs17417
hs9225	hs12167
hs9225	hs3723
hs9225	hs8535
hs9225	hs18668
hs9225	hs8535
hs9225	hs4978
hs9225	hs18668
hs9225	hs18613
hs9225	hs20812
hs9225	hs9440
hs9225	hs21620
hs9225	hs16294
hs9225	hs5204
hs9225	hs9488
hs9225	hs17417
hs9225	hs13257
hs9225	hs4549
hs9225	hs18668
hs9225	hs21620
hs9225	hs16070
hs9225	hs14044
hs9225	hs9615
hs9225	hs10255
hs9225	hs2549
hs9225	hs5095
hs2412	hs15688
hs12255	hs5842
hs18633	hs18633
hs13257	hs5193
hs13257	hs5193
hs13257	hs9225
hs13257	hs15203
hs13257	hs15203
hs13257	hs15203
hs13257	hs13062
hs13257	hs13062
hs13257	hs14135
hs13257	hs12845
hs13257	hs4321
hs13257	hs15203
hs13257	hs13850
hs13257	hs10403
hs13257	hs13062
hs682	hs3780
hs682	hs12780
hs769	hs9440
hs680	hs16928
hs680	hs16178
hs680	hs16178
hs680	hs17694
hs680	hs16928
hs680	hs10665
hs680	hs16178
hs681	hs4606
hs681	hs11926
hs681	hs5929
hs681	hs11115
hs681	hs4606
hs681	hs1339
hs681	hs11926
hs681	hs16704
hs681	hs4949
hs681	hs4606
hs681	hs5975
hs681	hs11424
hs681	hs7359
hs681	hs11839
hs681	hs11926
hs681	hs9333
hs681	hs9805
hs681	hs2774
hs681	hs1918
hs681	hs14186
hs684	hs10978
hs684	hs1696
hs684	hs15297
hs17550	hs10342
hs17550	hs10342
hs17550	hs10342
hs17551	hs15971
hs17551	hs5054
hs17551	hs5034
hs17551	hs13000
hs17551	hs15971
hs17551	hs13000
hs17551	hs5034
hs17551	hs5054
hs17551	hs1162
hs688	hs1440
hs688	hs7985
hs688	hs5658
hs688	hs1448
hs688	hs9351
hs688	hs6946
hs688	hs11167
hs688	hs1440
hs688	hs13143
hs688	hs8065
hs688	hs15433
hs688	hs8946
hs688	hs5699
hs688	hs5658
hs688	hs11167
hs688	hs15433
hs688	hs8946
hs688	hs9351
hs688	hs4852
hs688	hs8743
hs688	hs1448
hs688	hs21218
hs688	hs13143
hs688	hs8065
hs688	hs6946
hs688	hs342
hs688	hs6946
hs688	hs8478
hs688	hs11167
hs688	hs7985
hs688	hs1448
hs688	hs9351
hs688	hs13143
hs688	hs15433
hs688	hs342
hs688	hs4852
hs688	hs5658
hs688	hs8065
hs689	hs4078
hs689	hs8655
hs689	hs4078
hs689	hs4078
hs689	hs8655
hs12076	hs5713
hs12076	hs7231
hs12076	hs10690
hs12076	hs5713
hs12076	hs20913
hs12076	hs7231
hs12076	hs6272
hs12076	hs8896
hs12076	hs5713
hs17557	hs19295
hs17557	hs1097
hs17557	hs19267
hs17557	hs1677
hs17557	hs2815
hs15196	hs11088
hs15196	hs9756
hs15196	hs12376
hs15196	hs15105
hs15196	hs12645
hs10840	hs14172
hs10840	hs4133
hs10840	hs6090
hs10840	hs6090
hs10840	hs2447
hs10840	hs6475
hs10840	hs6381
hs10840	hs14980
hs10840	hs19171
hs10840	hs12065
hs10840	hs14980
hs10840	hs6090
hs10840	hs7312
hs10840	hs8904
hs10840	hs14172
hs10840	hs19171
hs10840	hs4133
hs10840	hs14980
hs10840	hs8904
hs10840	hs19171
hs10840	hs7312
hs10840	hs14172
hs10840	hs4133
hs10840	hs12275
hs10840	hs12065
hs10840	hs6381
hs10840	hs10167
hs10840	hs10736
hs10840	hs8434
hs10840	hs4607
hs10840	hs589
hs10840	hs4133
hs10840	hs14172
hs10840	hs6090
hs10840	hs14980
hs10840	hs19171
hs10840	hs7312
hs21506	hs6050
hs21506	hs6050
hs21506	hs6050
hs21506	hs5842
hs21506	hs17958
hs21506	hs6050
hs21506	hs5842
hs15625	hs13949
hs15625	hs13949
hs15625	hs17418
hs15625	hs20521
hs15625	hs18384
hs15625	hs13949
hs15625	hs5249
hs15625	hs4039
hs15625	hs4008
hs15625	hs2793
hs1941	hs8312
hs1941	hs8312
hs1941	hs7925
hs1941	hs7925
hs1941	hs7925
hs1941	hs7925
hs1941	hs12752
hs1941	hs17174
hs1941	hs12752
hs1941	hs17174
hs1941	hs153
hs1941	hs12752
hs1941	hs124
hs1941	hs3286
hs1941	hs5570
hs1941	hs6468
hs1941	hs7925
hs1941	hs12752
hs1941	hs7925
hs1941	hs1660
hs1941	hs16294
hs1941	hs1813
hs1941	hs8312
hs1941	hs8177
hs1941	hs3225
hs1941	hs9719
hs1941	hs6468
hs1941	hs3402
hs1941	hs3286
hs1941	hs2447
hs1941	hs74
hs1941	hs641
hs1941	hs3286
hs1941	hs153
hs15620	hs15733
hs15620	hs16667
hs15620	hs17849
hs15620	hs18395
hs15620	hs18881
hs15620	hs18395
hs15620	hs18881
hs15620	hs17849
hs15620	hs16667
hs15620	hs15733
hs15620	hs17849
hs15620	hs16667
hs15620	hs15733
hs15620	hs17849
hs15620	hs15733
hs15620	hs16667
hs15620	hs209
hs15620	hs202
hs11057	hs12287
hs11057	hs17051
hs11057	hs2943
hs11057	hs3470
hs11057	hs6165
hs11057	hs19545
hs11057	hs19547
hs11057	hs6165
hs11057	hs1620
hs11057	hs19545
hs11057	hs19547
hs11057	hs17051
hs11057	hs2943
hs11057	hs2629
hs11057	hs12287
hs11057	hs3470
hs11057	hs3470
hs11057	hs2943
hs11057	hs17051
hs11057	hs12287
hs11057	hs19547
hs11057	hs7816
hs11057	hs5690
hs11057	hs2943
hs11057	hs17051
hs11057	hs3470
hs11057	hs13143
hs11057	hs12287
hs11057	hs19545
hs11057	hs1620
hs11057	hs7656
hs11057	hs3660
hs11057	hs11185
hs1946	hs14130
hs59	hs967
hs59	hs967
hs59	hs3857
hs59	hs5578
hs59	hs967
hs51	hs13925
hs51	hs4837
hs51	hs5433
hs51	hs5433
hs51	hs326
hs51	hs326
hs51	hs3558
hs51	hs3558
hs51	hs5638
hs51	hs5638
hs51	hs6992
hs51	hs6992
hs51	hs12566
hs51	hs12566
hs51	hs18623
hs51	hs20758
hs51	hs20213
hs51	hs977
hs51	hs8312
hs51	hs8312
hs51	hs9411
hs51	hs9411
hs51	hs6560
hs51	hs12836
hs51	hs202
hs51	hs4837
hs51	hs10680
hs51	hs13925
hs51	hs5071
hs51	hs13925
hs51	hs3710
hs51	hs7131
hs51	hs13925
hs51	hs1420
hs51	hs7128
hs51	hs6992
hs51	hs12479
hs51	hs12566
hs51	hs14328
hs51	hs5638
hs51	hs5433
hs51	hs326
hs51	hs3558
hs51	hs14572
hs52	hs11115
hs52	hs15104
hs52	hs993
hs52	hs10523
hs52	hs12336
hs52	hs220
hs53	hs2335
hs53	hs567
hs53	hs2231
hs53	hs16637
hs53	hs2335
hs54	hs5608
hs54	hs5838
hs54	hs19113
hs54	hs19113
hs54	hs2695
hs54	hs2454
hs54	hs10384
hs54	hs10124
hs54	hs3065
hs54	hs3467
hs54	hs993
hs55	hs92
hs55	hs2462
hs55	hs3185
hs55	hs9488
hs55	hs9440
hs55	hs1287
hs55	hs5926
hs55	hs18758
hs11788	hs3113
hs11788	hs14577
hs11788	hs7415
hs11788	hs11490
hs11788	hs18649
hs11788	hs9820
hs11788	hs6755
hs11788	hs7713
hs11788	hs6593
hs11788	hs13752
hs11788	hs5073
hs11788	hs7666
hs11788	hs8808
hs11788	hs12086
hs11788	hs6909
hs11788	hs8991
hs11788	hs8801
hs11788	hs14577
hs11788	hs8384
hs11788	hs13752
hs11788	hs8808
hs11788	hs3113
hs11788	hs7415
hs11788	hs6593
hs11788	hs18649
hs11788	hs7666
hs11788	hs5266
hs11788	hs7713
hs11788	hs10641
hs11788	hs6909
hs11788	hs11490
hs11788	hs12086
hs11788	hs6755
hs11788	hs9820
hs11788	hs8801
hs11788	hs6593
hs11788	hs13752
hs11788	hs11490
hs11788	hs14577
hs11788	hs9820
hs11788	hs6755
hs11788	hs18649
hs11788	hs7666
hs11788	hs8384
hs11788	hs10641
hs11788	hs8991
hs11788	hs6909
hs11788	hs12086
hs11788	hs3113
hs11783	hs4173
hs11783	hs19113
hs11783	hs16160
hs11783	hs11647
hs11783	hs15963
hs11783	hs11647
hs11783	hs8206
hs11783	hs16160
hs11783	hs7359
hs11783	hs15963
hs11781	hs16059
hs11781	hs16059
hs11781	hs4326
hs11781	hs4326
hs11781	hs12864
hs11781	hs16059
hs11787	hs15487
hs11786	hs15203
hs11786	hs1468
hs11786	hs11557
hs11786	hs1574
hs11786	hs11557
hs11786	hs1574
hs11786	hs11557
hs11786	hs1574
hs1726	hs7021
hs1726	hs7021
hs1726	hs21326
hs2072	hs18354
hs2072	hs10370
hs2072	hs15617
hs2072	hs8736
hs2072	hs3971
hs2072	hs3799
hs2073	hs5926
hs2073	hs8027
hs2073	hs8481
hs2073	hs8688
hs2073	hs326
hs2073	hs9444
hs2073	hs5926
hs2076	hs4308
hs6024	hs9509
hs6024	hs5230
hs12780	hs14085
hs12780	hs15008
hs12780	hs14348
hs12780	hs15870
hs12780	hs15008
hs2075	hs13143
hs2075	hs7647
hs2075	hs9109
hs2075	hs13143
hs2075	hs9109
hs2075	hs7647
hs6029	hs12447
hs6029	hs18059
hs2537	hs4456
hs2537	hs5577
hs2537	hs756
hs2537	hs6732
hs2537	hs5773
hs2537	hs1484
hs2537	hs2336
hs2537	hs6219
hs2537	hs20602
hs2537	hs14366
hs2537	hs19118
hs2537	hs9277
hs2537	hs6219
hs2537	hs9968
hs2537	hs8714
hs2537	hs9696
hs2537	hs5638
hs2537	hs5783
hs2537	hs6732
hs2537	hs5577
hs2537	hs9277
hs2537	hs21033
hs2537	hs5783
hs2537	hs4729
hs2537	hs3842
hs2537	hs5783
hs2537	hs10576
hs2537	hs14229
hs2537	hs19139
hs2537	hs21495
hs2537	hs19081
hs2537	hs15115
hs2537	hs3113
hs2537	hs1484
hs2537	hs1061
hs2537	hs18845
hs2537	hs4176
hs2537	hs17825
hs2537	hs21033
hs2537	hs18609
hs2537	hs10557
hs2537	hs18180
hs2537	hs20613
hs2537	hs4428
hs2537	hs4465
hs2537	hs8377
hs2537	hs1496
hs2537	hs17031
hs2537	hs19317
hs2537	hs9968
hs2537	hs13171
hs2537	hs262
hs2537	hs3637
hs2537	hs5103
hs2537	hs8542
hs2537	hs2753
hs2537	hs20602
hs2537	hs11795
hs2537	hs13183
hs2537	hs45
hs2537	hs4197
hs2537	hs17217
hs2537	hs4173
hs2537	hs2573
hs2537	hs761
hs2537	hs19393
hs2537	hs5676
hs2537	hs19843
hs2537	hs16919
hs2537	hs15163
hs2537	hs3652
hs2537	hs10367
hs2537	hs5205
hs2537	hs9274
hs2537	hs4789
hs2537	hs168
hs2537	hs1910
hs2537	hs182
hs2537	hs8845
hs2537	hs5577
hs2537	hs5340
hs2537	hs19118
hs2537	hs7937
hs2537	hs9152
hs2537	hs15028
hs2537	hs9696
hs2537	hs14366
hs2537	hs2179
hs2537	hs2336
hs2537	hs15664
hs2537	hs19974
hs2537	hs6219
hs2537	hs19113
hs2537	hs1300
hs2537	hs15849
hs2537	hs598
hs2537	hs16294
hs2537	hs9014
hs2537	hs3907
hs2537	hs2322
hs2537	hs1201
hs2537	hs301
hs2537	hs589
hs2537	hs228
hs2537	hs8714
hs2537	hs5013
hs2537	hs2109
hs2537	hs301
hs2537	hs3113
hs2537	hs13171
hs2537	hs14229
hs2537	hs5676
hs2537	hs19843
hs2537	hs45
hs2537	hs19118
hs2537	hs2336
hs2537	hs15664
hs2537	hs1300
hs2537	hs19393
hs2537	hs7937
hs2537	hs18180
hs2537	hs8377
hs2537	hs4789
hs2537	hs1496
hs2537	hs19974
hs2537	hs17031
hs2537	hs19317
hs2537	hs5013
hs2537	hs5103
hs2537	hs9696
hs2537	hs761
hs2537	hs16919
hs2537	hs10367
hs2537	hs168
hs2537	hs1910
hs2537	hs19113
hs2537	hs15849
hs2537	hs9014
hs2537	hs589
hs2537	hs15115
hs2537	hs1061
hs2537	hs9968
hs2537	hs4176
hs2537	hs10557
hs2537	hs3652
hs2537	hs20613
hs2537	hs4428
hs2537	hs19139
hs2537	hs19081
hs2537	hs1484
hs2537	hs8542
hs2537	hs2753
hs2537	hs20602
hs2537	hs17217
hs2537	hs18609
hs2537	hs4465
hs2537	hs5340
hs2537	hs598
hs2537	hs1201
hs2537	hs2322
hs2537	hs21495
hs2537	hs10576
hs2537	hs18845
hs2537	hs3637
hs2537	hs13183
hs2537	hs5205
hs2537	hs17825
hs2537	hs4173
hs2537	hs2573
hs2537	hs15163
hs2537	hs182
hs2537	hs3907
hs2537	hs8845
hs2537	hs9274
hs2537	hs15028
hs2537	hs14366
hs2537	hs2179
hs2537	hs228
hs2537	hs9152
hs2537	hs2109
hs2537	hs9277
hs2537	hs5577
hs2537	hs20602
hs2537	hs19118
hs2537	hs8714
hs2537	hs9968
hs2537	hs1484
hs2537	hs2179
hs2537	hs3907
hs2537	hs14366
hs2537	hs5773
hs2537	hs11795
hs2537	hs9696
hs2537	hs1813
hs2537	hs1660
hs2537	hs5638
hs2537	hs3710
hs2078	hs2549
hs2079	hs14855
hs2079	hs11839
hs2079	hs11391
hs2079	hs6593
hs2079	hs14855
hs2079	hs11839
hs2079	hs11391
hs2079	hs6593
hs2079	hs11839
hs2079	hs11391
hs2079	hs14855
hs2079	hs6593
hs12788	hs20454
hs12789	hs16160
hs12789	hs5136
hs12789	hs16160
hs12789	hs15963
hs3211	hs17497
hs3211	hs17531
hs3211	hs9184
hs3211	hs529
hs3211	hs1228
hs3210	hs1132
hs3210	hs1944
hs3210	hs3533
hs3210	hs8743
hs3210	hs345
hs3210	hs6327
hs3210	hs17673
hs3210	hs17673
hs3210	hs12187
hs3210	hs12187
hs3210	hs12187
hs3210	hs3710
hs3210	hs12187
hs3210	hs3710
hs3210	hs6839
hs3210	hs4915
hs3210	hs7754
hs3210	hs5889
hs3210	hs5325
hs3210	hs345
hs3210	hs8743
hs3210	hs8743
hs3210	hs6839
hs3210	hs17673
hs3210	hs3533
hs3210	hs16410
hs3210	hs345
hs3210	hs17965
hs3210	hs205
hs3210	hs12187
hs3210	hs6342
hs3210	hs345
hs3210	hs3710
hs3213	hs9808
hs3213	hs2730
hs3213	hs2865
hs3213	hs9808
hs3213	hs2730
hs3213	hs2730
hs3213	hs9808
hs3213	hs13863
hs3213	hs1761
hs3213	hs3688
hs3213	hs2941
hs3213	hs19804
hs3213	hs16512
hs3213	hs7021
hs3213	hs13813
hs3213	hs7625
hs3213	hs11115
hs3213	hs1568
hs3213	hs1930
hs3213	hs13813
hs3213	hs1872
hs3213	hs1872
hs3213	hs2730
hs3213	hs337
hs3213	hs1871
hs3213	hs5965
hs3213	hs1568
hs3213	hs3688
hs3213	hs19804
hs3213	hs11115
hs3213	hs1930
hs3213	hs2133
hs3213	hs8736
hs3213	hs8794
hs3213	hs6165
hs3213	hs13863
hs3213	hs2941
hs3213	hs9808
hs3213	hs3281
hs3213	hs1872
hs3213	hs3997
hs3213	hs3015
hs3213	hs8478
hs3213	hs5095
hs3213	hs7625
hs3213	hs13813
hs3212	hs2283
hs3212	hs151
hs3212	hs21582
hs3212	hs134
hs3212	hs1090
hs3212	hs338
hs3212	hs19309
hs3212	hs1593
hs3212	hs2573
hs3212	hs287
hs3212	hs925
hs3212	hs9014
hs3212	hs1341
hs3212	hs5054
hs3212	hs15917
hs3212	hs1812
hs3212	hs9300
hs3212	hs13540
hs3212	hs5184
hs3212	hs8531
hs3212	hs2908
hs3212	hs3988
hs3212	hs1201
hs3212	hs8563
hs3212	hs17138
hs3212	hs3131
hs3212	hs20808
hs3212	hs15330
hs3212	hs8024
hs3212	hs5807
hs3212	hs2272
hs3212	hs10491
hs3212	hs7953
hs3212	hs4243
hs3212	hs5233
hs3212	hs5233
hs3212	hs19309
hs3212	hs21582
hs3212	hs15282
hs3212	hs8024
hs3212	hs5807
hs3212	hs8563
hs3212	hs15330
hs3212	hs11125
hs3212	hs14123
hs3212	hs338
hs3212	hs20808
hs3212	hs26
hs3212	hs5054
hs3212	hs9014
hs3212	hs3988
hs3212	hs3131
hs3212	hs13540
hs3212	hs17138
hs3212	hs2422
hs3212	hs1812
hs3212	hs925
hs3212	hs13405
hs3212	hs9300
hs3212	hs2272
hs3212	hs9151
hs3212	hs1090
hs3212	hs151
hs3212	hs1593
hs3212	hs1341
hs3212	hs2573
hs3212	hs5184
hs3212	hs10491
hs3212	hs5198
hs3212	hs2283
hs3212	hs134
hs3212	hs2908
hs3212	hs15917
hs3212	hs7953
hs3212	hs15008
hs3212	hs20808
hs3212	hs10491
hs3212	hs8024
hs3212	hs10038
hs3212	hs9740
hs11251	hs15645
hs11251	hs7022
hs11251	hs15645
hs11251	hs7022
hs11251	hs490
hs11251	hs7022
hs11251	hs15645
hs11251	hs7022
hs11251	hs15645
hs7778	hs7634
hs7778	hs7634
hs7778	hs4136
hs11520	hs5073
hs11520	hs5073
hs11520	hs4217
hs3219	hs16704
hs3219	hs11115
hs3219	hs16704
hs3219	hs1375
hs3219	hs5759
hs3219	hs3114
hs3219	hs13813
hs3219	hs13863
hs3219	hs16704
hs3219	hs7021
hs3219	hs1568
hs3219	hs13813
hs3219	hs16704
hs3219	hs6381
hs3219	hs4266
hs3219	hs1130
hs3219	hs11115
hs3219	hs1568
hs3219	hs4266
hs3219	hs1130
hs3219	hs11115
hs3219	hs7021
hs3219	hs16704
hs3219	hs3114
hs3219	hs6150
hs3219	hs8229
hs3219	hs7093
hs3219	hs14618
hs3219	hs1375
hs3219	hs13813
hs3218	hs3819
hs3218	hs3341
hs3218	hs3049
hs3218	hs3819
hs3218	hs3819
hs3218	hs3341
hs3218	hs2559
hs3218	hs3819
hs3218	hs3049
hs3218	hs12611
hs11829	hs2585
hs11829	hs209
hs7772	hs10678
hs11258	hs12824
hs11258	hs11723
hs11258	hs11723
hs11258	hs12824
hs11529	hs11529
hs11529	hs10741
hs11529	hs8867
hs11529	hs5401
hs11529	hs9309
hs11528	hs18758
hs11528	hs18758
hs16294	hs18487
hs16294	hs6549
hs16294	hs9440
hs16294	hs1354
hs16294	hs10685
hs16294	hs5005
hs16294	hs7765
hs16294	hs8128
hs16294	hs3718
hs16294	hs5564
hs16294	hs5156
hs16294	hs3596
hs16294	hs9436
hs16294	hs16590
hs16294	hs4949
hs16294	hs7625
hs16294	hs6732
hs16294	hs8105
hs16294	hs8325
hs16294	hs11061
hs16294	hs706
hs16294	hs3290
hs16294	hs12838
hs16294	hs878
hs16294	hs10790
hs16294	hs9440
hs16294	hs14891
hs16294	hs2745
hs16294	hs5929
hs16294	hs5759
hs16294	hs14178
hs16294	hs4374
hs16294	hs12938
hs16294	hs5093
hs16294	hs791
hs16294	hs4676
hs16294	hs13425
hs16294	hs3907
hs16294	hs11442
hs16294	hs9440
hs16294	hs4549
hs16294	hs18487
hs16294	hs17417
hs16294	hs3718
hs16294	hs3175
hs16294	hs3513
hs16294	hs9968
hs16294	hs5156
hs16294	hs3888
hs16294	hs15203
hs16294	hs815
hs16294	hs2774
hs16294	hs3636
hs16294	hs5005
hs16294	hs9436
hs16294	hs11301
hs16294	hs5600
hs16294	hs3710
hs16294	hs1225
hs16294	hs10263
hs16294	hs11575
hs16294	hs2274
hs16294	hs7292
hs16294	hs12645
hs19060	hs12110
hs9913	hs16750
hs9913	hs16750
hs9913	hs6440
hs9913	hs1862
hs9913	hs16750
hs9913	hs6440
hs9913	hs1862
hs9913	hs8990
hs19066	hs8857
hs19066	hs8563
hs19066	hs8857
hs9915	hs8075
hs9915	hs6111
hs16295	hs3825
hs16295	hs5170
hs19068	hs5412
hs19068	hs11930
hs19068	hs11999
hs19068	hs791
hs19068	hs4243
hs19068	hs18967
hs19068	hs8864
hs19068	hs8957
hs19068	hs17716
hs19068	hs1969
hs19068	hs16223
hs19068	hs4893
hs19068	hs12001
hs19068	hs8056
hs19068	hs11999
hs19068	hs14263
hs19068	hs7876
hs19068	hs10099
hs19068	hs6770
hs19068	hs8556
hs19068	hs8056
hs19068	hs791
hs19068	hs14263
hs19068	hs4243
hs19068	hs6770
hs19068	hs4185
hs19068	hs5412
hs19068	hs3078
hs19068	hs12930
hs19068	hs8804
hs6676	hs4586
hs5212	hs15104
hs10780	hs11674
hs10780	hs11674
hs10780	hs11674
hs10781	hs4379
hs10781	hs21506
hs10781	hs2710
hs10781	hs4379
hs10782	hs12719
hs10782	hs12575
hs10782	hs12664
hs10782	hs12664
hs10782	hs12575
hs6677	hs5897
hs6677	hs5897
hs6677	hs5897
hs6677	hs17266
hs6677	hs5897
hs10788	hs16404
hs10788	hs9897
hs5210	hs1026
hs5210	hs1225
hs5210	hs1026
hs5210	hs1026
hs5210	hs1107
hs5210	hs6847
hs5210	hs1388
hs6798	hs10310
hs11820	hs4241
hs11820	hs9076
hs11820	hs4241
hs11820	hs11294
hs11820	hs9076
hs11820	hs4241
hs11820	hs11294
hs2298	hs17299
hs6978	hs3723
hs6978	hs18668
hs6978	hs20812
hs6793	hs19295
hs6793	hs2989
hs6793	hs11883
hs6792	hs13060
hs6792	hs6381
hs6792	hs6381
hs6792	hs8736
hs6792	hs9409
hs6792	hs10299
hs6792	hs16704
hs6792	hs9648
hs6792	hs15330
hs6792	hs13060
hs9988	hs9983
hs9988	hs10098
hs9988	hs16885
hs9988	hs5066
hs9988	hs775
hs9988	hs828
hs9988	hs596
hs9988	hs596
hs9988	hs16885
hs9988	hs775
hs9988	hs5066
hs9988	hs9983
hs2292	hs16704
hs2292	hs5965
hs2292	hs18860
hs2292	hs5965
hs2292	hs16704
hs2292	hs2699
hs2292	hs4225
hs2292	hs3644
hs2292	hs16988
hs2293	hs16327
hs2293	hs16020
hs2293	hs16059
hs2293	hs16704
hs2293	hs4266
hs2293	hs4225
hs2293	hs16944
hs2293	hs13863
hs2293	hs4266
hs2293	hs1130
hs2293	hs3389
hs2293	hs6889
hs2293	hs3978
hs2293	hs3978
