INTERACTOR_A	INTERACTOR_B
mm8699	mm8699
mm8699	mm20200
mm8699	mm20021
mm5453	mm10766
mm1672	mm4668
mm19833	mm7726
mm19833	mm20774
mm19833	mm4755
mm2317	mm46
mm4895	mm6465
mm7368	mm8177
mm13964	mm13964
mm13964	mm2424
mm4890	mm9536
mm8818	mm2245
mm8818	mm9646
mm12034	mm11715
mm12034	mm9057
mm5925	mm3290
mm5925	mm6285
mm5925	mm3290
mm4740	mm2398
mm6309	mm7761
mm6309	mm1993
mm5613	mm4755
mm5613	mm19603
mm5613	mm22533
mm2664	mm835
mm2664	mm960
mm2664	mm1405
mm2664	mm5363
mm2664	mm5570
mm16191	mm3460
mm16191	mm4782
mm16191	mm3460
mm16191	mm2225
mm8183	mm166
mm8183	mm166
mm8104	mm8104
mm2952	mm12528
mm21117	mm8139
mm7847	mm7617
mm3362	mm14408
mm3362	mm16088
mm3362	mm14408
mm890	mm831
mm15061	mm17712
mm15061	mm4686
mm6608	mm8242
mm16941	mm14816
mm7428	mm5183
mm6603	mm2895
mm13059	mm5034
mm16432	mm1472
mm16432	mm11055
mm16432	mm13784
mm4503	mm21484
mm354	mm1255
mm21207	mm6435
mm11252	mm15591
mm20870	mm5422
mm1452	mm8079
mm5688	mm7123
mm8804	mm3398
mm8804	mm7391
mm1285	mm3178
mm6519	mm19080
mm10478	mm8699
mm10478	mm12087
mm166	mm8183
mm7741	mm123
mm7741	mm123
mm7741	mm123
mm9122	mm14346
mm3543	mm4668
mm3547	mm2300
mm3547	mm2413
mm3547	mm6825
mm3547	mm1584
mm2093	mm2398
mm5807	mm1162
mm5807	mm1162
mm617	mm2162
mm617	mm11354
mm613	mm1631
mm343	mm638
mm343	mm10544
mm343	mm10680
mm343	mm609
mm343	mm1036
mm343	mm1054
mm343	mm10544
mm343	mm10680
mm343	mm638
mm343	mm609
mm343	mm1036
mm343	mm1054
mm7122	mm504
mm15589	mm4668
mm2868	mm115
mm292	mm292
mm12658	mm1305
mm12658	mm1953
mm15749	mm3460
mm2545	mm5657
mm15216	mm2916
mm15216	mm7614
mm643	mm5394
mm643	mm244
mm17934	mm2263
mm765	mm4668
mm7158	mm230
mm2554	mm1631
mm2554	mm1596
mm754	mm13964
mm3244	mm3186
mm4318	mm8295
mm4318	mm8295
mm4318	mm8295
mm1148	mm835
mm1148	mm960
mm2344	mm7088
mm2344	mm831
mm4099	mm21484
mm2263	mm3367
mm9869	mm6560
mm9869	mm6419
mm835	mm2664
mm835	mm960
mm835	mm1405
mm835	mm5363
mm835	mm5570
mm8658	mm1437
mm8658	mm1437
mm8658	mm7761
mm8658	mm17114
mm14981	mm5726
mm11777	mm2952
mm2123	mm3356
mm831	mm2709
