INTERACTOR_A	INTERACTOR_B
sc20	sc2175
sc20	sc1070
sc20	sc1418
sc20	sc1560
sc20	sc700
sc20	sc700
sc20	sc705
sc20	sc700
sc20	sc705
sc20	sc700
sc20	sc705
sc20	sc700
sc20	sc3792
sc20	sc1070
sc20	sc700
sc20	sc705
sc20	sc2175
sc21	sc1852
sc21	sc3792
sc21	sc700
sc21	sc681
sc21	sc31
sc21	sc3342
sc21	sc1852
sc21	sc3792
sc21	sc3577
sc21	sc3564
sc21	sc1928
sc21	sc1484
sc21	sc1852
sc21	sc31
sc21	sc681
sc21	sc700
sc21	sc3792
sc21	sc369
sc21	sc1127
sc21	sc3424
sc21	sc5275
sc21	sc3089
sc21	sc1082
sc21	sc4979
sc21	sc3342
sc21	sc3264
sc21	sc20
sc21	sc497
sc21	sc33
sc21	sc444
sc21	sc5047
sc21	sc2070
sc21	sc1964
sc21	sc2061
sc21	sc5114
sc21	sc141
sc21	sc788
sc21	sc852
sc21	sc103
sc21	sc4
sc21	sc4310
sc21	sc53
sc21	sc140
sc21	sc26
sc21	sc5475
sc21	sc414
sc21	sc3137
sc21	sc1740
sc21	sc3267
sc21	sc4886
sc21	sc2922
sc21	sc980
sc21	sc376
sc21	sc506
sc21	sc2961
sc21	sc1155
sc21	sc3135
sc21	sc1216
sc21	sc387
sc21	sc106
sc21	sc2452
sc21	sc3813
sc21	sc4240
sc21	sc678
sc21	sc1905
sc21	sc351
sc21	sc512
sc21	sc938
sc21	sc413
sc21	sc1578
sc21	sc5090
sc21	sc2660
sc21	sc1755
sc21	sc4201
sc21	sc2628
sc21	sc574
sc21	sc4934
sc21	sc3096
sc21	sc1156
sc21	sc2806
sc21	sc160
sc21	sc1003
sc21	sc3496
sc21	sc1966
sc21	sc229
sc21	sc1852
sc21	sc11
sc21	sc4666
sc21	sc1322
sc21	sc4071
sc21	sc2348
sc21	sc392
sc21	sc1312
sc21	sc5280
sc21	sc682
sc21	sc152
sc21	sc1793
sc21	sc3073
sc21	sc4572
sc21	sc4328
sc21	sc4313
sc21	sc46
sc21	sc1601
sc21	sc3336
sc21	sc529
sc21	sc3692
sc21	sc3011
sc21	sc399
sc21	sc262
sc21	sc1264
sc21	sc5
sc21	sc104
sc21	sc1029
sc21	sc4717
sc21	sc2715
sc21	sc3049
sc21	sc2921
sc21	sc6068
sc21	sc591
sc21	sc5514
sc21	sc2644
sc21	sc1884
sc21	sc1
sc21	sc47
sc21	sc3595
sc21	sc2482
sc21	sc2802
sc21	sc261
sc21	sc3158
sc21	sc549
sc21	sc4654
sc21	sc455
sc21	sc428
sc21	sc1812
sc21	sc2604
sc21	sc50
sc21	sc578
